Date,Competition,Home Team,Home Score,Away Team,Away Score,Result,Wins,Losses,Draws,Win Percentage
29/11/2017,Premier League,Man City,2,West Ham,1,W,,,,
03/12/2017,UEFA Champions League · Group Stage,Shakhtar Donetsk,2,Man City,1,L,,,,
06/12/2017,Premier League,Man United,1,Man City,2,W,,,,
10/12/2017,Premier League,Swansea,0,Man City,4,W,,,,
13/12/2017,Premier League,Man City,4,Tottenham,1,W,,,,
16/12/2017,EFL Cup · Quarter-final,Leicester City,1 (3),Man City,1 (4),W (P),,,,
19/12/2017,Premier League,Man City,4,Bournemouth,0,W,,,,
23/12/2017,Premier League,Newcastle,0,Man City,1,W,,,,
27/12/2017,Premier League,Crystal Palace,0,Man City,0,D,,,,
31/12/2017,Premier League,Man City,3,Watford,1,W,,,,
02/01/2018,FA Cup · 3rd Round,Man City,4,Burnley,1,W,,,,
06/01/2018,EFL Cup · Semi-final · Leg 1 of 2,Man City,2,Bristol City,1,W,,,,
09/01/2018,Premier League,Liverpool,4,Man City,3,L,,,,
14/01/2018,Premier League,Man City,3,Newcastle,1,W,,,,
20/01/2018,EFL Cup · Semi-final · Leg 2 of 2,Bristol City,2,Man City,3,W,,,,
23/01/2018,FA Cup · 4th Round,Cardiff City,0,Man City,2,W,,,,
28/01/2018,Premier League,Man City,3,West Brom,0,W,,,,
31/01/2018,Premier League,Burnley,1,Man City,1,D,,,,
03/02/2018,Premier League,Man City,5,Leicester City,1,W,,,,
10/02/2018,UEFA Champions League · Round of 16 · Leg 1 of 2,Basel,0,Man City,4,W,,,,
13/02/2018,FA Cup · 5th Round,Wigan Athletic,1,Man City,0,L,,,,
19/02/2018,EFL Cup · Final,Arsenal,0,Man City,3,W,,,,
25/02/2018,Premier League,Arsenal,0,Man City,3,W,,,,
01/03/2018,Premier League,Man City,1,Chelsea,0,W,,,,
04/03/2018,UEFA Champions League · Round of 16 · Leg 2 of 2,Man City,1,Basel,2,L,,,,
07/03/2018,Premier League,Stoke City,0,Man City,2,W,,,,
12/03/2018,Premier League,Everton,1,Man City,3,W,,,,
31/03/2018,UEFA Champions League · Quarter-final · Leg 1 of 2,Liverpool,3,Man City,0,L,,,,
04/04/2018,Premier League,Man City,2,Man United,3,L,,,,
07/04/2018,UEFA Champions League · Quarter-final · Leg 2 of 2,Man City,1,Liverpool,2,L,,,,
10/04/2018,Premier League,Tottenham,1,Man City,3,W,,,,
14/04/2018,Premier League,Man City,5,Swansea,0,W,,,,
22/04/2018,Premier League,West Ham,1,Man City,4,W,,,,
29/04/2018,Premier League,Man City,0,Huddersfield,0,D,,,,
06/05/2018,Premier League,Man City,3,Brighton,1,W,,,,
09/05/2018,Premier League,Southampton,0,Man City,1,W,,,,
13/05/2018,FA Community Shield,Chelsea,0,Man City,2,W,,,,
05/08/2018,Premier League,Arsenal,0,Man City,2,W,,,,
12/08/2018,Premier League,Man City,6,Huddersfield,1,W,,,,
19/08/2018,Premier League,Wolves,1,Man City,1,D,,,,
25/08/2018,Premier League,Man City,2,Newcastle,1,W,,,,
01/09/2018,Premier League,Man City,3,Fulham,0,W,,,,
15/09/2018,UEFA Champions League · Group Stage,Man City,1,Lyon,2,L,,,,
19/09/2018,Premier League,Cardiff City,0,Man City,5,W,,,,
22/09/2018,EFL Cup · Third Round,Oxford Utd,0,Man City,3,W,,,,
25/09/2018,Premier League,Man City,2,Brighton,0,W,,,,
29/09/2018,UEFA Champions League · Group Stage,Hoffenheim,1,Man City,2,W,,,,
02/10/2018,Premier League,Liverpool,0,Man City,0,D,,,,
07/10/2018,Premier League,Man City,5,Burnley,0,W,,,,
20/10/2018,UEFA Champions League · Group Stage,Shakhtar Donetsk,0,Man City,3,W,,,,
23/10/2018,Premier League,Tottenham,0,Man City,1,W,,,,
29/10/2018,EFL Cup · Round of 16,Man City,2,Fulham,0,W,,,,
01/11/2018,Premier League,Man City,6,Southampton,1,W,,,,
04/11/2018,UEFA Champions League · Group Stage,Man City,6,Shakhtar Donetsk,0,W,,,,
07/11/2018,Premier League,Man City,3,Man United,1,W,,,,
11/11/2018,Premier League,West Ham,0,Man City,4,W,,,,
24/11/2018,UEFA Champions League · Group Stage,Lyon,2,Man City,2,D,,,,
27/11/2018,Premier League,Man City,3,Bournemouth,1,W,,,,
01/12/2018,Premier League,Watford,1,Man City,2,W,,,,
04/12/2018,Premier League,Chelsea,2,Man City,0,L,,,,
08/12/2018,UEFA Champions League · Group Stage,Man City,2,Hoffenheim,1,W,,,,
12/12/2018,Premier League,Man City,3,Everton,1,W,,,,
15/12/2018,EFL Cup · Quarter-final,Leicester City,1 (1),Man City,1 (3),W (P),,,,
18/12/2018,Premier League,Man City,2,Crystal Palace,3,L,,,,
22/12/2018,Premier League,Leicester City,2,Man City,1,L,,,,
26/12/2018,Premier League,Southampton,1,Man City,3,W,,,,
30/12/2018,Premier League,Man City,2,Liverpool,1,W,,,,
03/01/2019,FA Cup · 3rd Round,Man City,7,Rotherham,0,W,,,,
06/01/2019,EFL Cup · Semi-final · Leg 1 of 2,Man City,9,Burton,0,W,,,,
09/01/2019,Premier League,Man City,3,Wolves,0,W,,,,
14/01/2019,Premier League,Huddersfield,0,Man City,3,W,,,,
20/01/2019,EFL Cup · Semi-final · Leg 2 of 2,Burton,0,Man City,1,W,,,,
23/01/2019,FA Cup · 4th Round,Man City,5,Burnley,0,W,,,,
26/01/2019,Premier League,Newcastle,2,Man City,1,L,,,,
29/01/2019,Premier League,Man City,3,Arsenal,1,W,,,,
03/02/2019,Premier League,Everton,0,Man City,2,W,,,,
06/02/2019,Premier League,Man City,6,Chelsea,0,W,,,,
10/02/2019,FA Cup · 5th Round,Newport County,1,Man City,4,W,,,,
16/02/2019,UEFA Champions League · Round of 16 · Leg 1 of 2,Schalke,2,Man City,3,W,,,,
20/02/2019,EFL Cup · Final,Chelsea,0 (3),Man City,0 (4),W (P),,,,
24/02/2019,Premier League,Man City,1,West Ham,0,W,,,,
27/02/2019,Premier League,Bournemouth,0,Man City,1,W,,,,
02/03/2019,Premier League,Man City,3,Watford,1,W,,,,
09/03/2019,UEFA Champions League · Round of 16 · Leg 2 of 2,Man City,7,Schalke,0,W,,,,
12/03/2019,FA Cup · Quarter-finals,Swansea,2,Man City,3,W,,,,
16/03/2019,Premier League,Fulham,0,Man City,2,W,,,,
30/03/2019,Premier League,Man City,2,Cardiff City,0,W,,,,
03/04/2019,FA Cup · Semi-finals,Man City,1,Brighton,0,W,,,,
06/04/2019,UEFA Champions League · Quarter-final · Leg 1 of 2,Tottenham,1,Man City,0,L,,,,
09/04/2019,Premier League,Crystal Palace,1,Man City,3,W,,,,
14/04/2019,UEFA Champions League · Quarter-final · Leg 2 of 2,Man City,4,Tottenham,3,W,,,,
17/04/2019,Premier League,Man City,1,Tottenham,0,W,,,,
20/04/2019,Premier League,Man United,0,Man City,2,W,,,,
24/04/2019,Premier League,Burnley,0,Man City,1,W,,,,
28/04/2019,Premier League,Man City,1,Leicester City,0,W,,,,
06/05/2019,Premier League,Brighton,1,Man City,4,W,,,,
12/05/2019,FA Cup · Final,Man City,6,Watford,0,W,,,,
,,,,,,,,,,
,,,,,,,,,,54.65
